"","ID","ALIGN","CORRECT","TARGET","ROUND","freq1","freq2","rating","align_code","condition"
"91",129,"bathtub","CORRECT","bathtub","1",5,25,67,1,"C1"
"92",129,"hen","CORRECT","hen","1",5,43,62,1,"C1"
"93",129,"nectarine","CORRECT","nectarine","1",5,15,61,1,"C1"
"94",129,"bus","CORRECT","coach","1",0,30,60,0,"C1"
"95",129,"cap","CORRECT","hat","1",28,52,61,0,"C1"
"96",129,"beach ball","CORRECT","inflatable ball","1",1,26,65,0,"C1"
"97",129,"pen","CORRECT","biro","1",3,34,53,0,"C1"
"98",129,"gun","CORRECT","pistol","1",0,48,64,0,"C1"
"99",129,"toilet","CORRECT","loo","2",5,63,64,0,"C1"
"100",129,"painting","CORRECT","picture","2",22,43,56,0,"C1"
"101",129,"musical instrument","CORRECT","musical instrument","2",0,18,55,1,"C1"
"102",129,"rose","CORRECT","flower","2",1,91,60,0,"C1"
"103",129,"cushion","CORRECT","pillow","2",12,72,53,0,"C1"
"104",129,"aeroplane","CORRECT","aeroplane","2",20,45,68,1,"C1"
"105",129,"toad","CORRECT","toad","2",8,60,67,1,"C1"
"106",129,"phone","CORRECT","mobile","2",13,48,64,0,"C1"
"107",129,"lipstick","CORRECT","make up","2",0,33,56,0,"C1"
"108",129,"fridge","CORRECT","refrigerator","2",2,48,65,0,"C1"
"109",129,"mouse","CORRECT","rodent","2",0,65,63,0,"C1"
"110",129,"usb stick","CORRECT","memory stick","2",11,29,68,0,"C1"
"111",129,"cutlery","CORRECT","silverware","2",3,10,57,0,"C1"
"112",129,"bicycle","CORRECT","bicycle","2",10,67,68,1,"C1"
"113",131,"rowboat","CORRECT","rowboat","1",3,23,57,1,"C1"
"114",131,"fag","CORRECT","fag","1",10,53,60,1,"C1"
"115",131,"computer","CORRECT","computer","1",8,83,56,1,"C1"
"116",131,"bunny","CORRECT","bunny","1",15,63,64,1,"C1"
"117",131,"spectacles","CORRECT","spectacles","1",4,45,60,1,"C1"
"118",131,"brolly","CORRECT","brolly","1",12,45,63,1,"C1"
"119",131,"bathtub","CORRECT","bathtub","1",5,25,67,1,"C1"
"120",131,"hen","CORRECT","hen","1",5,43,62,1,"C1"
"121",131,"nectarine","CORRECT","nectarine","1",5,15,61,1,"C1"
"122",131,"bus","CORRECT","coach","1",0,30,60,0,"C1"
"123",131,"hat","CORRECT","hat","1",28,52,61,1,"C1"
"124",131,"ball","CORRECT","inflatable ball","1",1,26,65,0,"C1"
"125",131,"pen","CORRECT","biro","1",3,34,53,0,"C1"
"126",131,"gun","CORRECT","pistol","1",0,48,64,0,"C1"
"127",131,"loo","CORRECT","loo","2",5,63,64,1,"C1"
"128",131,"painting","CORRECT","picture","2",22,43,56,0,"C1"
"129",131,"musical instrument","CORRECT","musical instrument","2",0,18,55,1,"C1"
"130",131,"rose","CORRECT","flower","2",1,91,60,0,"C1"
"131",131,"cushion","CORRECT","pillow","2",12,72,53,0,"C1"
"132",131,"aeroplane","CORRECT","aeroplane","2",20,45,68,1,"C1"
"133",131,"frog","CORRECT","toad","2",8,60,67,0,"C1"
"134",131,"phone","CORRECT","mobile","2",13,48,64,0,"C1"
"135",131,"lipstick","CORRECT","make up","2",0,33,56,0,"C1"
"136",131,"fridge","CORRECT","refrigerator","2",2,48,65,0,"C1"
"137",131,"mouse","CORRECT","rodent","2",0,65,63,0,"C1"
"138",131,"usb stick","CORRECT","memory stick","2",11,29,68,0,"C1"
"139",131,"cutlery","CORRECT","silverware","2",3,10,57,0,"C1"
"140",131,"bike","CORRECT","bicycle","2",10,67,68,0,"C1"
"141",132,"rowboat","CORRECT","rowboat","1",3,23,57,1,"C1"
"142",132,"fag","CORRECT","fag","1",10,53,60,1,"C1"
"143",132,"computer","CORRECT","computer","1",8,83,56,1,"C1"
"144",132,"bunny","CORRECT","bunny","1",15,63,64,1,"C1"
"145",132,"spectacles","CORRECT","spectacles","1",4,45,60,1,"C1"
"146",132,"brolly","CORRECT","brolly","1",12,45,63,1,"C1"
"147",132,"bathtub","CORRECT","bathtub","1",5,25,67,1,"C1"
"148",132,"hen","CORRECT","hen","1",5,43,62,1,"C1"
"149",132,"nectarine","CORRECT","nectarine","1",5,15,61,1,"C1"
"150",132,"coach","CORRECT","coach","1",0,30,60,1,"C1"
"151",132,"hat","CORRECT","hat","1",28,52,61,1,"C1"
"152",132,"inflatable ball","CORRECT","inflatable ball","1",1,26,65,1,"C1"
"153",132,"biro","CORRECT","biro","1",3,34,53,1,"C1"
"154",132,"pistol","CORRECT","pistol","1",0,48,64,1,"C1"
"155",132,"loo","CORRECT","loo","2",5,63,64,1,"C1"
"156",132,"picture","CORRECT","picture","2",22,43,56,1,"C1"
"157",132,"musical instrument","CORRECT","musical instrument","2",0,18,55,1,"C1"
"158",132,"rose","CORRECT","flower","2",1,91,60,0,"C1"
"159",132,"pillow","CORRECT","pillow","2",12,72,53,1,"C1"
"160",132,"aeroplane","CORRECT","aeroplane","2",20,45,68,1,"C1"
"161",132,"toad","CORRECT","toad","2",8,60,67,1,"C1"
"162",132,"mobile","CORRECT","mobile","2",13,48,64,1,"C1"
"163",132,"make up","CORRECT","make up","2",0,33,56,1,"C1"
"164",132,"refrigerator","CORRECT","refrigerator","2",2,48,65,1,"C1"
"165",132,"rodent","CORRECT","rodent","2",0,65,63,1,"C1"
"166",132,"memory stick","CORRECT","memory stick","2",11,29,68,1,"C1"
"167",132,"silverware","CORRECT","silverware","2",3,10,57,1,"C1"
"168",132,"bicycle","CORRECT","bicycle","2",10,67,68,1,"C1"
"169",134,"boat","CORRECT","rowboat","1",3,23,57,0,"C1"
"170",134,"cigarette","CORRECT","fag","1",10,53,60,0,"C1"
"171",134,"laptop","CORRECT","computer","1",8,83,56,0,"C1"
"172",134,"rabbit","CORRECT","bunny","1",15,63,64,0,"C1"
"173",134,"glasses","CORRECT","spectacles","1",4,45,60,0,"C1"
"174",134,"umbrella","CORRECT","brolly","1",12,45,63,0,"C1"
"175",134,"bath","CORRECT","bathtub","1",5,25,67,0,"C1"
"176",134,"chicken","CORRECT","hen","1",5,43,62,0,"C1"
"177",134,"nectarine","CORRECT","nectarine","1",5,15,61,1,"C1"
"178",134,"bus","CORRECT","coach","1",0,30,60,0,"C1"
"179",134,"hat","CORRECT","hat","1",28,52,61,1,"C1"
"180",134,"beachball","CORRECT","inflatable ball","1",1,26,65,0,"C1"
"181",134,"pen","CORRECT","biro","1",3,34,53,0,"C1"
"182",134,"pistol","CORRECT","pistol","1",0,48,64,1,"C1"
"183",134,"toilet","CORRECT","loo","2",5,63,64,0,"C1"
"184",134,"painting","CORRECT","picture","2",22,43,56,0,"C1"
"185",134,"accordian","CORRECT","musical instrument","2",0,18,55,0,"C1"
"186",134,"rose","CORRECT","flower","2",1,91,60,0,"C1"
"187",134,"cushion","CORRECT","pillow","2",12,72,53,0,"C1"
"188",134,"plane","CORRECT","aeroplane","2",20,45,68,0,"C1"
"189",134,"toad","CORRECT","toad","2",8,60,67,1,"C1"
"190",134,"phone","CORRECT","mobile","2",13,48,64,0,"C1"
"191",134,"lipstick","CORRECT","make up","2",0,33,56,0,"C1"
"192",134,"fridge","CORRECT","refrigerator","2",2,48,65,0,"C1"
"193",134,"mouse","CORRECT","rodent","2",0,65,63,0,"C1"
"194",134,"usb stick","CORRECT","memory stick","2",11,29,68,0,"C1"
"195",134,"cutlery","CORRECT","silverware","2",3,10,57,0,"C1"
"196",134,"bike","CORRECT","bicycle","2",10,67,68,0,"C1"
"197",135,"rowing boat ","CORRECT","rowboat","1",3,23,57,0,"C1"
"198",135,"fag","CORRECT","fag","1",10,53,60,1,"C1"
"199",135,"laptop","CORRECT","computer","1",8,83,56,0,"C1"
